Date,Level (m),Level_change (cm),Surface_water_temperature (Celcius),Air_temperature_low (Celcius),Air_temperature_high (Celcius),Code,Bridge_clearance (m),,,,,,,,,
2008-01-01,345.486,-0.6,5.6,-4.9,0.7,ccc,7.032,,,,,,,,,
2008-01-02,345.477,-0.9,5,-0.7,5.3,ccc,7.041,,,,,,,,,
2008-01-03,345.467,-1,5,-1.3,2.1,ccx,7.051,,,,,,,,,
2008-01-04,345.455,-1.2,5,0.7,5,ccr,7.063,,,,,,,,,
2008-01-05,345.442,-1.3,5,0.7,6.7,ccr,7.076,,,,,,,,,
2008-01-06,345.426,-1.6,5,-0.1,5.9,ssc,7.092,,,,,,,,,
2008-01-07,345.413,-1.3,5,-2.3,3.1,ssc,7.105,,,,,,,,,
2008-01-08,345.408,-0.5,5,-1.2,1.5,ccx,7.11,,,,,,,,,
2008-01-09,345.401,-0.7,4.4,-0.5,3.7,ccx,7.117,,,,,,,,,
2008-01-10,345.393,-0.8,4.4,-0.3,3.3,cxx,7.125,,,,,,,,,
2008-01-11,345.388,-0.5,4.4,1.3,4.3,ccx,7.13,,,,,,,,,
2008-01-12,345.382,-0.6,4.4,1.7,4.9,ccx,7.136,,,,,,,,,
2008-01-13,345.374,-0.8,4.4,1.7,5.1,ccc,7.144,,,,,,,,,
2008-01-14,345.368,-0.6,4.4,-0.3,4.9,crx,7.15,,,,,,,,,
2008-01-15,345.359,-0.9,4.4,-7.7,1.9,ccr,7.159,,,,,,,,,
2008-01-16,345.351,-0.8,3.9,-6.1,8.5,crx,7.167,,,,,,,,,
2008-01-17,345.342,-0.9,3.9,-4.9,9.3,ccc,7.176,,,,,,,,,
2008-01-18,345.334,-0.8,3.9,-4.6,8.2,ccx,7.184,,,,,,,,,
2008-01-19,345.321,-1.3,3.9,-0.9,3.5,cxx,7.197,,,,,,,,,
2008-01-20,345.317,-0.4,3.9,-9.9,2.8,ssc,7.201,,,,,,,,,
2008-01-21,345.314,-0.3,3.9,-11.7,-2.1,ssc,7.204,,,,,,,,,
2008-01-22,345.312,-0.2,3.9,-11,5.6,ssc,7.206,,,,,,,,,
2008-01-23,345.309,-0.3,3.9,-11.2,4.6,ssc,7.209,,,,,,,,,
2008-01-24,345.305,-0.4,3.9,-12.3,5.7,ssc,7.213,,,,,,,,,
2008-01-25,345.301,-0.4,3.9,-10.9,6.2,ssc,7.217,,,,,,,,,
2008-01-26,345.294,-0.7,3.9,-6.2,-0.5,scc,7.224,,,,,,,,,
2008-01-27,345.286,-0.8,3.9,-7.7,2.6,ccx,7.232,,,,,,,,,
2008-01-28,345.279,-0.7,3.3,-12.5,-4.9,ccx,7.239,,,,,,,,,
2008-01-29,345.271,-0.8,3.3,-13,2.6,xxx,7.247,,,,,,,,,
2008-01-30,345.262,-0.9,3.3,-10.2,4.7,scx,7.256,,,,,,,,,
2008-01-31,345.253,-0.9,3.3,-6,5.1,cxx,7.265,,,,,,,,,
2008-02-01,345.245,-0.8,3.3,-2.9,2.7,ccc,7.273,,,,,,,,,
2008-02-02,345.239,-0.6,3.3,-2.4,3.6,ccx,7.279,,,,,,,,,
2008-02-03,345.232,-0.7,3.3,-6.9,3.5,ssc,7.286,,,,,,,,,
2008-02-04,345.223,-0.9,3.3,-8.5,8.4,ccx,7.295,,,,,,,,,
2008-02-05,345.215,-0.8,3.3,-4.4,1.5,cxx,7.303,,,,,,,,,
2008-02-06,345.208,-0.7,3.3,-5.5,3.1,scx,7.31,,,,,,,,,
2008-02-07,345.201,-0.7,3.3,0.5,9.9,ccx,7.317,,,,,,,,,
2008-02-08,345.195,-0.6,3.3,0.6,6.4,crx,7.323,,,,,,,,,
2008-02-09,345.189,-0.6,3.3,-1.1,3,ccx,7.329,,,,,,,,,
2008-02-10,345.182,-0.7,3.3,-0.5,5.1,scx,7.336,,,,,,,,,
2008-02-11,345.174,-0.8,3.3,-0.1,5.2,crx,7.344,,,,,,,,,
2008-02-12,345.167,-0.7,3.3,1.1,4.7,ccr,7.351,,,,,,,,,
2008-02-13,345.161,-0.6,3.3,0.2,7.1,scc,7.357,,,,,,,,,
2008-02-14,345.156,-0.5,3.3,0.3,7.2,ssc,7.362,,,,,,,,,
2008-02-15,345.151,-0.5,3.3,0.9,4.3,crx,7.367,,,,,,,,,
2008-02-16,345.145,-0.6,3.3,-0.3,7.5,ssc,7.373,,,,,,,,,
2008-02-17,345.139,-0.6,3.3,-1.1,5.3,ssc,7.379,,,,,,,,,
2008-02-18,345.134,-0.5,2.2,-4.5,5.3,ssc,7.384,,,,,,,,,
2008-02-19,345.13,-0.4,2.2,-5.4,12.9,sss,7.388,,,,,,,,,
2008-02-20,345.125,-0.5,2.2,-4.2,4.9,sss,7.393,,,,,,,,,
2008-02-21,345.121,-0.4,2.2,-3.3,8.4,sss,7.397,,,,,,,,,
2008-02-22,345.116,-0.5,2.2,-3.6,7.3,scc,7.402,,,,,,,,,
2008-02-23,345.112,-0.4,2.2,-0.5,7.4,ccr,7.406,,,,,,,,,
2008-02-24,345.109,-0.3,2.2,-0.8,5.1,ssc,7.409,,,,,,,,,
2008-02-25,345.107,-0.2,2.2,-0.3,7.5,ssc,7.411,,,,,,,,,
2008-02-26,345.103,-0.4,2.2,0.1,8.1,ssc,7.415,,,,,,,,,
2008-02-27,345.101,-0.2,2.2,2.7,7.9,scr,7.417,,,,,,,,,
2008-02-28,345.099,-0.2,2.2,1.5,9.1,scc,7.419,,,,,,,,,
2008-02-29,345.097,-0.2,2.2,1.2,9.1,ssc,7.421,,,,,,,,,
2008-03-01,345.094,-0.3,2.2,1.3,11.1,ssc,7.424,,,,,,,,,
2008-03-02,345.093,-0.1,2.2,-1.1,13.7,scc,7.425,,,,,,,,,
2008-03-03,345.091,-0.2,2.2,2.1,10.3,crx,7.427,,,,,,,,,
2008-03-04,345.088,-0.3,2.2,0.1,8.3,ssc,7.43,,,,,,,,,
2008-03-05,345.085,-0.3,2.2,-2.7,7.5,ssc,7.433,,,,,,,,,
2008-03-06,345.082,-0.3,2.2,-2.1,8.2,ssc,7.436,,,,,,,,,
2008-03-07,345.078,-0.4,2.2,-2.5,10.9,ssc,7.44,,,,,,,,,
2008-03-08,345.081,0.3,2.2,0.6,10.5,scc,7.437,,,,,,,,,
2008-03-09,345.087,0.6,2.2,0.8,6.9,ccc,7.431,,,,,,,,,
2008-03-10,345.094,0.7,2.2,2.3,7.1,crr,7.424,,,,,,,,,
2008-03-11,345.096,0.2,2.8,2.7,9.1,scc,7.422,,,,,,,,,
2008-03-12,345.094,-0.2,2.8,1.2,11.9,ssc,7.424,,,,,,,,,
2008-03-13,345.095,0.1,2.2,-1.4,9.7,ssc,7.423,,,,,,,,,
2008-03-14,345.096,0.1,2.2,0.9,9.5,scr,7.422,,,,,,,,,
2008-03-15,345.099,0.3,2.2,0.6,10.9,scr,7.419,,,,,,,,,
2008-03-16,345.105,0.6,2.2,0.6,13.8,ssc,7.413,,,,,,,,,
2008-03-17,345.112,0.7,2.2,0.7,12.5,scc,7.406,,,,,,,,,
2008-03-18,345.114,0.2,2.2,2.9,10.1,ssc,7.404,,,,,,,,,
2008-03-19,345.115,0.1,2.2,0.3,13.9,ssc,7.403,,,,,,,,,
2008-03-20,345.116,0.1,2.2,2.9,12.1,scx,7.402,,,,,,,,,
2008-03-21,345.117,0.1,2.2,3.2,12.3,scr,7.401,,,,,,,,,
2008-03-22,345.118,0.1,2.8,-0.5,13.8,ssc,7.4,,,,,,,,,
2008-03-23,345.117,-0.1,3.3,2.7,9.1,ccr,7.401,,,,,,,,,
2008-03-24,345.119,0.2,5,0.4,15.5,ssc,7.399,,,,,,,,,
2008-03-25,345.118,-0.1,5,-0.8,14.8,sss,7.4,,,,,,,,,
2008-03-26,345.117,-0.1,5,1.1,9.3,scx,7.401,,,,,,,,,
2008-03-27,345.119,0.2,5,0.5,14.3,scr,7.399,,,,,,,,,
2008-03-28,345.122,0.3,5,-1.1,11,scc,7.396,,,,,,,,,
2008-03-29,345.119,-0.3,5,-1.5,12.3,ssc,7.399,,,,,,,,,
2008-03-30,345.116,-0.3,5.6,-2.3,14.5,ssc,7.402,,,,,,,,,
2008-03-31,345.112,-0.4,5.6,0.7,12.7,scx,7.406,,,,,,,,,
2008-04-01,345.111,-0.1,5.6,-1,10.7,ssc,7.407,,,,,,,,,
2008-04-02,345.111,0,5.6,0.3,12.7,ssc,7.407,,,,,,,,,
2008-04-03,345.108,-0.3,5.6,0.1,15.1,ssc,7.41,,,,,,,,,
2008-04-04,345.103,-0.5,5.6,1.9,15.1,scc,7.415,,,,,,,,,
2008-04-05,345.098,-0.5,5.6,2.3,14,scc,7.42,,,,,,,,,
2008-04-06,345.095,-0.3,5.6,4.5,15.2,scc,7.423,,,,,,,,,
2008-04-07,345.093,-0.2,6.1,0.5,15.1,ssc,7.425,,,,,,,,,
2008-04-08,345.093,0,6.1,2.3,16.7,scr,7.425,,,,,,,,,
2008-04-09,345.094,0.1,6.1,4.3,15.3,ccr,7.424,,,,,,,,,
2008-04-10,345.097,0.3,6.1,2.5,15.1,ssc,7.421,,,,,,,,,
2008-04-11,345.099,0.2,6.1,3.2,15.5,ssc,7.419,,,,,,,,,
2008-04-12,345.104,0.5,6.7,3,19.7,ssc,7.414,,,,,,,,,
2008-04-13,345.112,0.8,6.7,3.8,15.7,ccr,7.406,,,,,,,,,
2008-04-14,345.128,1.6,6.7,6.2,16.7,ssc,7.39,,,,,,,,,
2008-04-15,345.149,2.1,6.7,6,15.9,scc,7.369,,,,,,,,,
2008-04-16,345.169,2,6.7,3.3,13.1,scc,7.349,,,,,,,,,
2008-04-17,345.185,1.6,7.2,3.3,18.3,ssc,7.333,,,,,,,,,
2008-04-18,345.199,1.4,7.2,4.1,11.5,crx,7.319,,,,,,,,,
2008-04-19,345.213,1.4,7.2,0.1,5.5,xxx,7.305,,,,,,,,,
2008-04-20,345.226,1.3,7.2,0.1,8,scc,7.292,,,,,,,,,
2008-04-21,345.238,1.2,7.2,-2.2,13.5,ssc,7.28,,,,,,,,,
2008-04-22,345.24,0.2,7.8,0.6,10.9,ssc,7.278,,,,,,,,,
2008-04-23,345.236,-0.4,7.8,-2,14.9,scc,7.282,,,,,,,,,
2008-04-24,345.241,0.5,7.8,4.2,12.2,scr,7.277,,,,,,,,,
2008-04-25,345.251,1,7.8,4.7,15.1,ssc,7.267,,,,,,,,,
2008-04-26,345.259,0.8,7.8,0.9,20.2,ssc,7.259,,,,,,,,,
2008-04-27,345.275,1.6,7.8,6.7,18.3,scx,7.243,,,,,,,,,
2008-04-28,345.293,1.8,7.8,7.1,19.8,crr,7.225,,,,,,,,,
2008-04-29,345.297,0.4,7.8,5.4,16.8,scr,7.221,,,,,,,,,
2008-04-30,345.347,5,8.3,5.2,18.3,scr,7.171,,,,,,,,,
2008-05-01,345.378,3.1,8.3,6.6,19.3,ssc,7.14,,,,,,,,,
2008-05-02,345.394,1.6,8.3,3.1,20.7,ssc,7.124,,,,,,,,,
2008-05-03,345.416,2.2,8.3,7.2,19.3,ssc,7.102,,,,,,,,,
2008-05-04,345.441,2.5,8.3,4.3,22,sss,7.077,,,,,,,,,
2008-05-05,345.477,3.6,8.3,9.4,21,ssc,7.041,,,,,,,,,
2008-05-06,345.526,4.9,8.9,6.9,21.5,ssc,6.992,,,,,,,,,
2008-05-07,345.589,6.3,8.9,5.9,14.3,crr,6.929,,,,,,,,,
2008-05-08,345.643,5.4,8.9,4.3,15.9,scc,6.875,,,,,,,,,
2008-05-09,345.687,4.4,8.9,2.7,21.7,ssc,6.831,,,,,,,,,
2008-05-10,345.729,4.2,8.9,8.7,15.9,scr,6.789,,,,,,,,,
2008-05-11,345.774,4.5,8.9,8.6,15.3,scr,6.744,,,,,,,,,
2008-05-12,345.838,6.4,8.9,8.4,21.3,ssc,6.68,,,,,,,,,
2008-05-13,345.899,6.1,9.4,8.4,15.1,scr,6.619,,,,,,,,,
2008-05-14,345.963,6.4,9.4,9.1,18.9,scc,6.555,,,,,,,,,
2008-05-15,346.021,5.8,9.4,7.9,28.1,ssc,6.497,,,,,,,,,
2008-05-16,346.106,8.5,9.4,10.7,30,sss,6.412,,,,,,,,,
2008-05-17,346.251,14.5,9.4,14.1,31.9,ssc,6.267,,,,,,,,,
2008-05-18,346.425,17.4,10,16.5,26.7,scr,6.093,,,,,,,,,
2008-05-19,346.649,22.4,10,14.6,22.3,scr,5.869,,,,,,,,,
2008-05-20,346.838,18.9,10,9.4,18.7,crr,5.68,,,,,,,,,
2008-05-21,347.079,24.1,10,9.4,17.5,scr,5.439,,,,,,,,,
2008-05-22,347.275,19.6,10,9.8,21.9,ssc,5.243,,,,,,,,,
2008-05-23,347.424,14.9,10.6,12.3,24.7,ssc,5.094,,,,,,,,,
2008-05-24,347.562,13.8,10.6,12.3,22.7,scc,4.956,,,,,,,,,
2008-05-25,347.699,13.7,10.6,10.8,22.5,ccc,4.819,,,,,,,,,
2008-05-26,347.856,15.7,10.6,9.9,18.7,scr,4.662,,,,,,,,,
2008-05-27,347.991,13.5,10.6,7,27.5,ssc,4.527,,,,,,,,,
2008-05-28,348.093,10.2,10.6,10.7,29.1,sss,4.425,,,,,,,,,
2008-05-29,348.189,9.6,10.6,14.4,24.6,scr,4.329,,,,,,,,,
2008-05-30,348.268,7.9,11.1,12.5,27.3,ssc,4.25,,,,,,,,,
2008-05-31,348.339,7.1,11.1,11.3,29.5,ssc,4.179,,,,,,,,,
2008-06-01,348.399,6,11.1,13.4,24.1,scr,4.119,,,,,,,,,
2008-06-02,348.476,7.7,11.1,10.5,23,scc,4.042,,,,,,,,,
2008-06-03,348.542,6.6,11.1,13.1,24.4,scc,3.976,,,,,,,,,
2008-06-04,348.586,4.4,11.7,13.9,24.7,ssc,3.932,,,,,,,,,
2008-06-05,348.614,2.8,11.7,10.3,17.1,crr,3.904,,,,,,,,,
2008-06-06,348.649,3.5,11.7,9.9,19.1,scr,3.869,,,,,,,,,
2008-06-07,348.682,3.3,11.7,9.9,21.1,scr,3.836,,,,,,,,,
2008-06-08,348.721,3.9,11.7,8.8,19.3,3.9,3.797,,,,,,,,,
2008-06-09,348.729,0.8,11.7,7.1,17.7,scr,3.789,,,,,,,,,
2008-06-10,348.732,0.3,11.7,9.1,21.8,scc,3.786,,,,,,,,,
2008-06-11,348.718,-1.4,11.7,10.7,24.7,ssc,3.8,,,,,,,,,
2008-06-12,348.702,-1.6,11.7,9.2,26.2,ssc,3.816,,,,,,,,,
2008-06-13,348.703,0.1,11.7,8.5,21,scr,3.815,,,,,,,,,
2008-06-14,348.712,0.9,11.7,8.3,21.8,scc,3.806,,,,,,,,,
2008-06-15,348.702,-1,11.7,9.8,26.1,ssc,3.816,,,,,,,,,
2008-06-16,348.661,-4.1,11.7,10.9,30.3,ssc,3.857,,,,,,,,,
2008-06-17,348.632,-2.9,12.2,12.3,26.1,ssc,3.886,,,,,,,,,
2008-06-18,348.601,-3.1,12.2,9.5,24.7,ssc,3.917,,,,,,,,,
2008-06-19,348.555,-4.6,12.2,8.3,22.7,scc,3.963,,,,,,,,,
2008-06-20,348.507,-4.8,12.2,12.8,26.3,ssc,4.011,,,,,,,,,
2008-06-21,348.461,-4.6,12.8,14.3,24.3,scr,4.057,,,,,,,,,
2008-06-22,348.451,-1,12.8,14.5,27.3,ssc,4.067,,,,,,,,,
2008-06-23,348.438,-1.3,13.9,11.7,26.5,ssc,4.08,,,,,,,,,
2008-06-24,348.409,-2.9,13.9,15.1,28.5,ssc,4.109,,,,,,,,,
2008-06-25,348.378,-3.1,13.9,10.3,29.1,ssc,4.14,,,,,,,,,
2008-06-26,348.337,-4.1,15,12.2,25.5,scc,4.181,,,,,,,,,
2008-06-27,348.274,-6.3,15.6,14.7,32.7,ssc,4.244,,,,,,,,,
2008-06-28,348.239,-3.5,17.2,15.5,37.3,sss,4.279,,,,,,,,,
2008-06-29,348.218,-2.1,18.3,18.9,37.6,ssc,4.3,,,,,,,,,
2008-06-30,348.221,0.3,18.9,18.9,35.1,ssc,4.297,,,,,,,,,
2008-07-01,348.226,0.5,18.9,20.2,33.1,ssc,4.292,,,,,,,,,
2008-07-02,348.235,0.9,18.9,17.9,36.3,sss,4.283,,,,,,,,,
2008-07-03,348.242,0.7,19.4,16.8,30.2,scr,4.276,,,,,,,,,
2008-07-04,348.238,-0.4,19.4,16.5,30.1,ssc,4.28,,,,,,,,,
2008-07-05,348.226,-1.2,19.4,14,29.6,ssc,4.292,,,,,,,,,
2008-07-06,348.199,-2.7,20,15.7,27.5,scr,4.319,,,,,,,,,
2008-07-07,348.171,-2.8,20,16.4,24.4,ssc,4.347,,,,,,,,,
2008-07-08,348.126,-4.5,20,14.3,29.2,ssc,4.392,,,,,,,,,
2008-07-09,348.069,-5.7,20,15.6,30.5,ssc,4.449,,,,,,,,,
2008-07-10,348.038,-3.1,20,10.3,23.1,ccr,4.48,,,,,,,,,
2008-07-11,347.981,-5.7,20.6,7.9,25.9,ssc,4.537,,,,,,,,,
2008-07-12,347.912,-6.9,20.6,12.3,30.4,ssc,4.606,,,,,,,,,
2008-07-13,347.847,-6.5,20.6,13.5,31.9,ssc,4.671,,,,,,,,,
2008-07-14,347.786,-6.1,20.6,15.1,29.7,ssc,4.732,,,,,,,,,
2008-07-15,347.714,-7.2,20.6,13.7,29.4,ssc,4.804,,,,,,,,,
2008-07-16,347.656,-5.8,20.6,12.3,31.5,ssc,4.862,,,,,,,,,
2008-07-17,347.599,-5.7,21.1,13.4,29.3,ssc,4.919,,,,,,,,,
2008-07-18,347.537,-6.2,21.1,13,25.1,scr,4.981,,,,,,,,,
2008-07-19,347.465,-7.2,21.1,11.2,31.1,sss,5.053,,,,,,,,,
2008-07-20,347.396,-6.9,21.1,13.2,34.7,sss,5.122,,,,,,,,,
2008-07-21,347.329,-6.7,21.1,14.9,34.5,sss,5.189,,,,,,,,,
2008-07-22,347.274,-5.5,21.1,16.6,31.6,ssc,5.244,,,,,,,,,
2008-07-23,347.211,-6.3,21.7,15.1,25.7,scc,5.307,,,,,,,,,
2008-07-24,347.154,-5.7,21.7,15.1,31.9,ssc,5.364,,,,,,,,,
2008-07-25,347.091,-6.3,21.7,14.3,32.3,ssc,5.427,,,,,,,,,
2008-07-26,347.038,-5.3,22.2,17.1,32.4,ssc,5.48,,,,,,,,,
2008-07-27,346.977,-6.1,22.2,17.3,28.8,scr,5.541,,,,,,,,,
2008-07-28,346.925,-5.2,22.2,14.5,28.1,ssc,5.593,,,,,,,,,
2008-07-29,346.866,-5.9,22.2,13.5,26.7,scr,5.652,,,,,,,,,
2008-07-30,346.805,-6.1,22.2,13.4,31.9,scc,5.713,,,,,,,,,
2008-07-31,346.748,-5.7,22.2,9.5,20.3,scc,5.77,,,,,,,,,
2008-08-01,346.692,-5.6,22.2,13.1,23.1,scr,5.826,,,,,,,,,
2008-08-02,346.649,-4.3,22.2,10.4,25.6,ssc,5.869,,,,,,,,,
2008-08-03,346.618,-3.1,22.2,10.7,28.5,ssc,5.9,,,,,,,,,
2008-08-04,346.589,-2.9,22.2,11.5,30,ssc,5.929,,,,,,,,,
2008-08-05,346.567,-2.2,22.2,12.6,32.5,sss,5.951,,,,,,,,,
2008-08-06,346.518,-4.9,22.8,14.3,33.1,ssc,6,,,,,,,,,
2008-08-07,346.475,-4.3,22.8,16.9,35.9,sss,6.043,,,,,,,,,
2008-08-08,346.439,-3.6,22.8,18.1,30.7,scr,6.079,,,,,,,,,
2008-08-09,346.404,-3.5,22.8,14.7,22.7,ccr,6.114,,,,,,,,,
2008-08-10,346.377,-2.7,22.8,11.4,23.1,scr,6.141,,,,,,,,,
2008-08-11,346.352,-2.5,22.8,12,20.3,scc,6.166,,,,,,,,,
2008-08-12,346.333,-1.9,22.8,9.2,25.9,ssc,6.185,,,,,,,,,
2008-08-13,346.301,-3.2,22.8,12.3,29.5,ssc,6.217,,,,,,,,,
2008-08-14,346.262,-3.9,22.8,13.4,31,sss,6.256,,,,,,,,,
2008-08-15,346.236,-2.6,22.8,14.7,33.3,sss,6.282,,,,,,,,,
2008-08-16,346.213,-2.3,22.8,16.3,33.1,sss,6.305,,,,,,,,,
2008-08-17,346.189,-2.4,22.8,16.3,30.3,ssc,6.329,,,,,,,,,
2008-08-18,346.167,-2.2,22.8,16.7,33.7,scr,6.351,,,,,,,,,
2008-08-19,346.135,-3.2,22.8,17.1,25.1,scr,6.383,,,,,,,,,
2008-08-20,346.128,-0.7,22.8,12.3,22.7,scr,6.39,,,,,,,,,
2008-08-21,346.141,1.3,22.8,12.3,22.3,scr,6.377,,,,,,,,,
2008-08-22,346.129,-1.2,22.8,9.7,22.3,ssc,6.389,,,,,,,,,
2008-08-23,346.108,-2.1,22.8,13.9,25.8,ssc,6.41,,,,,,,,,
2008-08-24,346.085,-2.3,22.8,14.5,22.7,scr,6.433,,,,,,,,,
2008-08-25,346.059,-2.6,22.8,12.9,20.1,scr,6.459,,,,,,,,,
2008-08-26,346.044,-1.5,21.7,9.7,21.8,scr,6.474,,,,,,,,,
2008-08-27,346.047,0.3,21.7,9.9,17.1,ccr,6.471,,,,,,,,,
2008-08-28,346.052,0.5,21.7,11.5,19.7,scc,6.466,,,,,,,,,
2008-08-29,346.059,0.7,21.7,13.1,20.3,scr,6.459,,,,,,,,,
2008-08-30,346.067,0.8,21.1,9.5,21.3,ssc,6.451,,,,,,,,,
2008-08-31,346.077,1,21.1,4.4,20.3,ssc,6.441,,,,,,,,,
2008-09-01,346.064,-1.3,21.1,6.5,21.1,ssc,6.454,,,,,,,,,
2008-09-02,346.045,-1.9,21.1,7.4,20.3,ssc,6.473,,,,,,,,,
2008-09-03,346.037,-0.8,21.1,10.5,21.9,scr,6.481,,,,,,,,,
2008-09-04,346.023,-1.4,21.1,6.6,22.9,ssc,6.495,,,,,,,,,
2008-09-05,346.006,-1.7,20.6,10.7,17.3,scr,6.512,,,,,,,,,
2008-09-06,345.992,-1.4,20.6,9.1,20.3,scr,6.526,,,,,,,,,
2008-09-07,345.975,-1.7,20.6,6.8,21.8,ssc,6.543,,,,,,,,,
2008-09-08,345.959,-1.6,20.6,7.2,21.9,ssc,6.559,,,,,,,,,
2008-09-09,345.941,-1.8,20.6,9.1,21.8,scr,6.577,,,,,,,,,
2008-09-10,345.925,-1.6,20.6,5.6,21.2,ssc,6.593,,,,,,,,,
2008-09-11,345.908,-1.7,20.6,7,23.9,ssc,6.61,,,,,,,,,
2008-09-12,345.889,-1.9,20.6,10.7,20.6,scr,6.629,,,,,,,,,
2008-09-13,345.868,-2.1,20.6,4.9,20.3,ssc,6.65,,,,,,,,,
2008-09-14,345.845,-2.3,20.6,4.8,21.3,ssc,6.673,,,,,,,,,
2008-09-15,345.821,-2.4,20.6,6.4,22.7,sss,6.697,,,,,,,,,
2008-09-16,345.799,-2.2,20.6,6.8,24,sss,6.719,,,,,,,,,
2008-09-17,345.778,-2.1,20.6,6.9,23.5,ssc,6.74,,,,,,,,,
2008-09-18,345.756,-2.2,20.6,9.1,22.6,ssc,6.762,,,,,,,,,
2008-09-19,345.735,-2.1,20.6,6.9,24,sss,6.783,,,,,,,,,
2008-09-20,345.711,-2.4,20.6,9.1,23.8,scr,6.807,,,,,,,,,
2008-09-21,345.699,-1.2,20,12.3,17.2,scr,6.819,,,,,,,,,
2008-09-22,345.692,-0.7,20,4.9,15,scr,6.826,,,,,,,,,
2008-09-23,345.679,-1.3,20,3.3,17.9,ssc,6.839,,,,,,,,,
2008-09-24,345.664,-1.5,20,7.4,12.1,crr,6.854,,,,,,,,,
2008-09-25,345.648,-1.6,20,8.7,16.1,scr,6.87,,,,,,,,,
2008-09-26,345.629,-1.9,20,8.3,16.7,ssc,6.889,,,,,,,,,
2008-09-27,345.611,-1.8,20,7.2,21.3,ssc,6.907,,,,,,,,,
2008-09-28,345.595,-1.6,20,5.6,19.2,sss,6.923,,,,,,,,,
2008-09-29,345.578,-1.7,20,4.3,20.8,sss,6.94,,,,,,,,,
2008-09-30,345.561,-1.7,20,5.1,20.3,sss,6.957,,,,,,,,,
2008-10-01,345.546,-1.5,20,8.1,22.7,sss,6.972,,,,,,,,,
2008-10-02,345.534,-1.2,19.4,10.3,19.7,ccr,6.984,,,,,,,,,
2008-10-03,345.528,-0.6,19.4,8.8,17.8,crr,6.99,,,,,,,,,
2008-10-04,345.525,-0.3,19.4,6.9,17.1,ccr,6.993,,,,,,,,,
2008-10-05,345.523,-0.2,19.4,5.2,16.9,scr,6.995,,,,,,,,,
2008-10-06,345.519,-0.4,19.4,3.1,17.9,scr,6.999,,,,,,,,,
2008-10-07,345.518,-0.1,19.4,6.7,15.8,scr,7,,,,,,,,,
2008-10-08,345.519,0.1,18.9,3.8,12.2,scr,6.999,,,,,,,,,
2008-10-09,345.521,0.2,18.9,0.4,11,ssc,6.997,,,,,,,,,
2008-10-10,345.516,-0.5,18.9,-1.7,12.7,sss,7.002,,,,,,,,,
2008-10-11,345.512,-0.4,18.9,-1.3,11.1,ssc,7.006,,,,,,,,,
2008-10-12,345.508,-0.4,18.9,2.2,14,ssc,7.01,,,,,,,,,
2008-10-13,345.509,0.1,18.9,5.1,9.4,crr,7.009,,,,,,,,,
2008-10-14,345.512,0.3,18.9,2,12.7,ssc,7.006,,,,,,,,,
2008-10-15,345.511,-0.1,18.9,-0.9,13.5,ssc,7.007,,,,,,,,,
2008-10-16,345.513,0.2,18.9,3.3,8.1,crr,7.005,,,,,,,,,
2008-10-17,345.514,0.1,18.9,8.5,13.3,rrr,7.004,,,,,,,,,
2008-10-18,345.527,1.3,18.3,3.9,16.7,scr,6.991,,,,,,,,,
2008-10-19,345.551,2.4,18.3,-0.5,11.6,ssc,6.967,,,,,,,,,
2008-10-20,345.576,2.5,18.3,4.3,8.9,rrr,6.942,,,,,,,,,
2008-10-21,345.598,2.2,18.3,1.9,13.5,ssc,6.92,,,,,,,,,
2008-10-22,345.607,0.9,18.3,2.8,15.1,ssc,6.911,,,,,,,,,
2008-10-23,345.612,0.5,17.8,4.8,7.9,ssc,6.906,,,,,,,,,
2008-10-24,345.609,-0.3,17.8,2.7,10.9,scc,6.909,,,,,,,,,
2008-10-25,345.608,-0.1,17.8,-2.3,13.5,ssc,6.91,,,,,,,,,
2008-10-26,345.602,-0.6,17.8,-3.3,9.4,ssc,6.916,,,,,,,,,
2008-10-27,345.597,-0.5,17.8,-3.3,11.1,sss,6.921,,,,,,,,,
2008-10-28,345.595,-0.2,16.7,-1.2,10.5,ssc,6.923,,,,,,,,,
2008-10-29,345.592,-0.3,16.7,-0.2,12.7,ssc,6.926,,,,,,,,,
2008-10-30,345.591,-0.1,16.7,1.2,8.8,ccr,6.927,,,,,,,,,
2008-10-31,345.594,0.3,16.7,6.5,10,ccr,6.924,,,,,,,,,
2008-11-01,345.611,1.7,16.7,7.4,14.6,ccr,6.907,,,,,,,,,
2008-11-02,345.629,1.8,15.6,7.1,15.1,crr,6.889,,,,,,,,,
2008-11-03,345.651,2.2,15.6,3.3,9.4,crr,6.867,,,,,,,,,
2008-11-04,345.645,-0.6,14.4,3.7,9.7,ccr,6.873,,,,,,,,,
2008-11-05,345.649,0.4,14.4,0.5,10.8,scc,6.869,,,,,,,,,
2008-11-06,345.663,1.4,14.4,0.2,5.9,ccr,6.855,,,,,,,,,
2008-11-07,345.684,2.1,14.4,4.6,7.7,ccr,6.834,,,,,,,,,
2008-11-08,345.709,2.5,14.4,4.8,9.1,ccr,6.809,,,,,,,,,
2008-11-09,345.724,1.5,14.4,3.5,11.2,scr,6.794,,,,,,,,,
2008-11-10,345.736,1.2,14.4,4.4,11.1,ccr,6.782,,,,,,,,,
2008-11-11,345.745,0.9,14.4,3.9,6.9,crr,6.773,,,,,,,,,
